Campo;Descrição
Ação; Descrição do instrumento de programação para alcançar o objetivo de um programa.
Classe de material/serviço; Segundo nível de especificação de materiais e serviços. Detalha o grupo.
CNPJ/CPF; Número de identificação do fornecedor. Pessoa Jurídica (CNPJ) e Pessoa física (CPF).
Contratado; Nome da pessoa física ou jurídica contratada para prestar um serviço ou entregar bens materiais ao Estado.
Economias; Diferença entre o valor de referência e o valor homologado.
Elemento item; identifica os objetos dos gastos que a administração pública se serve para a consecução de seus fins.
Grupo de material/serviço; Maior nível de especificação de materiais e serviços.
Item de material/serviço; Quarto nível de especificação de materiais e serviços. Detalha o material/serviço.
Material/serviço; Terceiro nível de especificação de materiais e serviços. Detalha a classe.
Número do Processo de compra; Número identificador do processo de compra no Portal de Compras.
Objeto (processo de compra); Descrição dos bens e serviços que estão sendo comprados e sua finalidade.
Objeto do Contrato (consulta contrato); Descrição dos bens e serviços que serão fornecidos pelo contratado.
Órgão Contrato (consulta contratos); Órgão ou entidade que formalizou o instrumento de contratação.
Órgão demandante (consultas compras); Órgão ou entidade que solicitou a compra de determinado material ou serviço. Pode coincidir ou não com o órgão que está executando o processo de compra.
Procedimento de contratação; Inclui as modalidades de licitação (concorrência, tomada de preços, convite e leilão), pregão, dispensa, inexigibilidade, registro de preços, etc).
Programa; Instrumento de organização de ação governamental que integra o planejamento visando a concretização dos objetos pretendidos.
Quantidade homologada; Quantidade de material ou serviço que está sendo comprada.
Situação; Situação do processo de compra durante a aquisição de materiais e serviços (concluído, suspenso, em andamento, etc.). Quanto aos processos de compra com situação em andamento, são considerados apenas os itens já homologados desses processos.
Situação do Contrato; Situação em que se encontra o contrato quanto a sua vigência.
Situação do Processo; Situação do processo de compra durante a aquisição de materiais e serviços (concluído, suspenso, em andamento, etc.). Quanto aos processos de compra com situação em andamento, são considerados apenas os itens já homologados desses processos.
Tipo de licitação; Critérios de julgamento utilizados que selecionar a proposta mais vantajosa para a Administração Pública.
Unidade de medida; Padrão utilizado para mensurar o bem ou serviço comprado.
Valor Atualizado; Valor atualizado do contrato, considerando aditivos e supressões de valor.
Valor Homologado; Valor final licitado ou comprado.
Valor Publicado; Valor original do contrato, conforme processo de compra, sem considerar acréscimos ou decréscimos de aditivos e supressões posteriores.
Valor Referência; Valor estimado de um determinado bem ou serviço, obtido por meio de pesquisa de mercado ou cadastro de preços.
;
